City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,winnemucca,40.973,-117.7357,11.35,23,100,1.96,US,1699931273
311,katabu,-4.9333,122.5167,34.94,42,41,1.15,ID,1699931386
312,antofagasta,-23.65,-70.4,17.61,74,33,2.07,CL,1699931386
313,xining,36.6167,101.7667,3.14,42,0,0.8,CN,1699931205
314,siwa oasis,29.2041,25.5195,19.38,52,0,3.15,EG,1699931388
315,kodiak,57.79,-152.4072,4.73,48,0,4.63,US,1699931204
316,liuhe,42.2401,125.7172,1.53,65,1,2.06,CN,1699931389
317,bereket,39.2446,55.5154,14.19,40,22,3.7,TM,1699931390
318,yorkton,51.2167,-102.4677,-0.63,83,59,5.49,CA,1699931390
319,qarazhal,48.0078,70.7903,1.02,83,72,3.57,KZ,1699931391
320,altay,47.8667,88.1167,-4.11,77,72,2.02,CN,1699931392
321,laibin,23.7,109.2667,12.38,74,99,3.26,CN,1699931393
322,arno,60.1167,18.6333,1.55,97,100,5.16,SE,1699931394
323,swakopmund,-22.6833,14.5333,16.04,87,98,0.74,NA,1699931291
324,nuku'alofa,-21.1333,-175.2,24.19,88,75,8.75,TO,1699931396
325,ratnapura,6.6828,80.3992,27.09,88,61,0.81,LK,1699931396
326,ipueiras,-7.0333,-40.45,23.28,41,17,2.36,BR,1699931397
327,panaba,21.2833,-88.2667,24.32,93,100,3.45,MX,1699931340
328,beledweyne,4.7358,45.2036,25.05,87,16,2.16,SO,1699931398
329,wenling,28.3669,121.36,14.9,56,24,2.39,CN,1699931352
330,plavsk,53.7094,37.2919,3.46,83,100,7.3,RU,1699931399
331,k'asp'i,41.9252,44.4257,12.02,58,21,2.28,GE,1699931400
332,nar'yan-mar,67.6713,53.087,-7.72,96,100,4.02,RU,1699931401
333,coahuayana de hidalgo,18.7,-103.6583,26.1,83,12,0.92,MX,1699931401
334,ajdabiya,30.7554,20.2263,19.84,71,98,4.14,LY,1699931402
335,balykshi,47.0667,51.8667,3.0,87,90,2.0,KZ,1699931403
336,puerto deseado,-47.7503,-65.8938,8.93,48,100,8.46,AR,1699931404
337,osilnica,45.5292,14.6989,13.65,97,100,3.14,HR,1699931405
338,arkhangel'sk,64.5401,40.5433,-3.26,91,93,2.74,RU,1699931405
339,arraial do cabo,-22.9661,-42.0278,23.65,90,69,5.05,BR,1699931406
340,korla,41.7597,86.1469,5.72,32,46,3.16,CN,1699931324
341,walvis bay,-22.9575,14.5053,15.44,88,75,0.49,NA,1699931282
342,la passe,45.5549,-0.8967,15.55,93,100,5.05,FR,1699931407
343,san luis de la loma,17.2706,-100.8939,26.78,83,21,2.57,MX,1699931408
344,fort st. john,56.2499,-120.8529,-8.25,98,33,1.73,CA,1699931341
345,paita,-5.0892,-81.1144,20.37,84,9,6.22,PE,1699931409
346,conception bay south,47.4999,-52.9981,-0.53,81,94,2.0,CA,1699931410
347,malango,-2.9627,119.9001,32.45,34,7,1.34,ID,1699931410
348,matthew town,20.95,-73.6667,27.37,81,1,6.53,BS,1699931414
349,tebessa,35.4042,8.1242,12.7,62,3,1.59,DZ,1699931416
350,quellon,-43.1167,-73.6167,2.0,90,93,1.43,CL,1699931417
351,tidjikja,18.5564,-11.4271,23.7,14,6,5.4,MR,1699931417
352,hualien city,23.9769,121.6044,22.31,88,99,2.03,TW,1699931423
353,altamira,-3.2033,-52.2064,29.37,43,100,1.14,BR,1699931428
354,keflavik,64.0049,-22.5624,8.24,61,75,6.17,IS,1699931429
355,lompoc,34.6391,-120.4579,14.88,82,0,3.09,US,1699931430
356,ecoporanga,-18.3733,-40.8306,22.56,78,80,1.89,BR,1699931431
357,port macquarie,-31.4333,152.9167,24.94,43,14,4.12,AU,1699931431
358,ta`u,-14.2336,-169.5144,28.22,80,34,5.74,AS,1699931432
359,codrington,-38.2667,141.9667,14.46,69,100,3.52,AU,1699931433
360,puerto aysen,-45.4,-72.7,2.92,99,100,2.29,CL,1699931434
